image,box_XYXY
000000497001.jpg,"[21.31574, 82.26607, 493.64227, 357.25296]"
000000237685.jpg,"[313.42676, 262.59793, 640.0, 530.5019]"
000000204206.jpg,"[1.2097478, 231.38539, 133.89519, 308.97968]"
000000366103.jpg,"[297.63162, 236.63731, 639.60956, 355.3941]"
000000366103.jpg,"[0.0, 157.03369, 185.27211, 294.26767]"
000000431177.jpg,"[186.33925, 202.74289, 409.96045, 276.1069]"
000000431177.jpg,"[387.66046, 221.08961, 414.1039, 272.48386]"
000000232675.jpg,"[540.21216, 281.83484, 640.0, 433.93588]"
000000232675.jpg,"[352.05807, 202.8054, 630.39355, 375.49493]"
000000461226.jpg,"[150.7451, 152.07005, 176.23613, 172.98009]"
000000461226.jpg,"[358.43774, 141.24277, 396.28384, 182.36327]"
000000466523.jpg,"[185.04033, 193.77995, 377.33884, 257.5699]"
000000466523.jpg,"[7.430388, 170.8877, 183.73343, 272.26138]"
000000466523.jpg,"[219.24673, 196.70705, 228.74593, 209.63474]"
000000466523.jpg,"[220.24788, 196.96837, 247.74727, 209.41774]"
000000268512.jpg,"[396.31372, 115.16852, 491.64786, 232.2087]"
000000038751.jpg,"[390.21057, 92.93377, 640.0, 271.9377]"
000000038751.jpg,"[10.4096, 38.263634, 593.87695, 425.69592]"
000000494174.jpg,"[0.0, 154.64006, 362.63144, 345.98703]"
000000498758.jpg,"[0.0, 108.88852, 146.29153, 314.80234]"
000000265799.jpg,"[361.65964, 75.2197, 640.0, 208.58469]"
000000265799.jpg,"[366.8969, 85.11562, 493.69586, 134.60098]"
000000265799.jpg,"[25.230856, 77.85296, 608.8433, 363.08615]"
000000201859.jpg,"[384.3235, 194.44171, 598.0874, 259.91354]"
000000073163.jpg,"[443.6593, 182.20438, 626.79614, 238.34286]"
000000073163.jpg,"[189.30989, 169.428, 215.63513, 184.83122]"
000000073163.jpg,"[238.70854, 174.05896, 251.27887, 180.69962]"
000000073163.jpg,"[277.35458, 169.79091, 290.94623, 179.97911]"
000000073163.jpg,"[543.43, 172.43701, 559.7735, 180.98505]"
000000561126.jpg,"[507.77316, 112.56308, 640.0, 220.30223]"
000000561126.jpg,"[574.4053, 70.71994, 611.5071, 93.63086]"
000000561126.jpg,"[199.23637, 83.45391, 219.0266, 97.69711]"
000000561126.jpg,"[180.11166, 82.560326, 216.83896, 98.955505]"
000000036639.jpg,"[519.74554, 176.92154, 639.81024, 231.37946]"
000000036639.jpg,"[426.43945, 177.54459, 519.51874, 220.7198]"
000000068261.jpg,"[206.82062, 251.70108, 235.22331, 274.82675]"
000000106072.jpg,"[196.23924, 156.65321, 563.2863, 338.46045]"
000000337042.jpg,"[343.70126, 285.81412, 498.85944, 331.55524]"
000000337042.jpg,"[40.049774, 220.45381, 293.4905, 299.46283]"
000000337042.jpg,"[289.43295, 230.22798, 304.1443, 237.46461]"
000000337042.jpg,"[211.3349, 226.0976, 226.79674, 236.96916]"
000000531614.jpg,"[16.917677, 99.2745, 555.183, 315.78424]"
000000465537.jpg,"[0.0, 24.352375, 471.97354, 358.0371]"
000000565797.jpg,"[17.775688, 17.867538, 627.12866, 436.99176]"
000000561570.jpg,"[547.7719, 206.34709, 574.00745, 229.25374]"
000000204889.jpg,"[376.75854, 77.81518, 636.7054, 424.01993]"
000000230712.jpg,"[174.47543, 227.02332, 204.27501, 240.98784]"
000000169499.jpg,"[402.82196, 80.93187, 626.7952, 283.29327]"
000000169499.jpg,"[59.657204, 80.019516, 555.51434, 376.1294]"
000000268251.jpg,"[0.0, 187.32808, 145.42032, 371.94034]"
000000068125.jpg,"[514.94824, 334.01706, 639.31177, 464.16797]"
000000229478.jpg,"[0.106931716, 183.082169, 58.6500893, 219.819489]"
000000229478.jpg,"[207.8272, 27.799215, 480.48798, 416.79645]"
000000524533.jpg,"[548.4066, 313.07083, 639.73047, 424.31992]"
000000532732.jpg,"[307.59146, 8.984144, 631.6475, 272.121]"
000000559166.jpg,"[146.34131, 256.04044, 440.94296, 390.66446]"
000000559166.jpg,"[428.719, 330.60074, 478.9487, 463.018]"
000000559166.jpg,"[452.4455, 302.91782, 479.96964, 330.6681]"
000000200335.jpg,"[60.60502, 115.01494, 116.38995, 148.04924]"
000000466971.jpg,"[0.0, 224.83022, 256.1261, 353.83987]"
000000035105.jpg,"[140.2659, 122.41854, 396.22638, 209.75974]"
000000435163.jpg,"[217.27731, 544.5079, 311.74, 604.78827]"
000000435163.jpg,"[93.724335, 572.28876, 220.56937, 621.71954]"
000000131160.jpg,"[520.344, 394.41064, 536.2284, 401.64404]"
000000037771.jpg,"[441.32214, 204.42357, 469.66272, 233.53365]"
000000037771.jpg,"[402.6487, 277.826, 481.71912, 413.87244]"
000000037771.jpg,"[252.62183, 275.3852, 474.9039, 411.562]"
000000172059.jpg,"[240.15323, 139.7426, 493.54843, 269.73944]"
000000172059.jpg,"[313.39694, 210.44653, 324.92157, 218.18178]"
000000172059.jpg,"[416.20544, 114.78813, 435.69327, 119.47655]"
000000237324.jpg,"[33.766674, 263.61377, 434.8659, 633.69995]"
000000237324.jpg,"[146.25452, 237.05719, 185.62642, 294.1468]"
000000237324.jpg,"[318.00046, 230.88194, 331.76797, 239.48882]"
000000237324.jpg,"[248.68198, 245.14035, 353.32156, 277.75522]"
000000303321.jpg,"[414.21503, 252.62823, 611.0578, 437.26425]"
000000303321.jpg,"[291.55487, 264.85654, 597.7987, 499.9992]"
000000433151.jpg,"[188.5395, 583.02905, 327.34436, 632.71124]"
000000433151.jpg,"[335.90872, 529.9844, 413.18817, 640.0]"
000000262747.jpg,"[481.05032, 66.284035, 640.0, 241.54253]"
000000170683.jpg,"[65.574905, 442.5831, 165.29825, 539.73706]"
000000197807.jpg,"[315.4708, 122.85345, 634.6766, 478.4164]"
000000397628.jpg,"[360.4203, 390.0741, 485.46628, 439.32355]"
000000104249.jpg,"[340.90848, 113.17744, 488.8979, 169.86104]"
000000104249.jpg,"[475.93973, 127.28098, 499.72366, 166.1431]"
000000065643.jpg,"[96.62972, 235.89702, 221.39922, 279.75546]"
000000065643.jpg,"[123.51442, 250.06253, 237.65048, 330.0006]"
000000237201.jpg,"[97.35391, 124.98679, 608.25323, 332.5529]"
000000138022.jpg,"[531.52704, 319.43417, 561.17816, 344.92465]"
000000138022.jpg,"[61.29943, 248.34744, 548.2386, 573.38055]"
000000270799.jpg,"[277.608, 274.63693, 408.65955, 332.05453]"
000000270799.jpg,"[126.1482, 234.60971, 218.06494, 284.39102]"
000000270799.jpg,"[209.01082, 204.07849, 380.25037, 307.4919]"
000000270799.jpg,"[117.846245, 229.96016, 141.73138, 252.77768]"
000000204217.jpg,"[320.3478, 240.6363, 544.91125, 398.33545]"
000000204217.jpg,"[528.21344, 266.3899, 544.0081, 285.49435]"
000000428301.jpg,"[211.69154, 226.51288, 351.80865, 420.62332]"
000000428301.jpg,"[395.98187, 231.41145, 448.90125, 303.258]"
